colonyID	substrate	antweight_mg	antspeed_cm.s	seedweight_mg
A1	sand	10.11	0.61	17.20
A1	sand	6.27	0.57	8.30
A1	sand	8.04	0.50	14.90
A1	sand	5.22	0.38	27.20
A1	sand	3.24	1.04	4.30
A1	sand	2.15	0.39	8.50
A1	sand	1.98	0.61	3.90
A1	sand	6.03	0.81	14.10
A1	sand	9.93	0.58	27.50
A1	sand	1.70	0.67	5.00
A1	sand	6.07	0.64	9.20
A1	sand	3.02	0.96	5.60
A1	sand	4.19	0.50	5.50
A1	sand	3.63	0.43	14.30
A1	sand	7.08	0.67	26.80
A1	gravel	9.72	0.78	4.89
A1	gravel	2.36	0.43	3.05
A1	gravel	11.16	0.74	3.69
A1	gravel	8.68	0.58	8.99
A1	gravel	6.24	0.51	13.99
A1	gravel	3.72	0.27	14.80
A1	gravel	4.74	0.77	4.69
A1	gravel	22.97	0.38	35.27
A1	gravel	4.69	0.27	10.02
A1	gravel	6.64	0.20	14.88
A1	gravel	4.62	0.57	2.28
A1	gravel	6.77	0.55	1.83
A1	gravel	5.44	0.64	5.09
A1	sand	24.16	1.01	21.23
A1	sand	3.49	0.77	4.60
A1	sand	6.21	0.89	5.90
A1	sand	9.47	1.16	7.55
A1	sand	2.45	0.80	2.39
A1	sand	10.45	1.05	4.52
A1	sand	5.31	0.66	21.01
A1	sand	5.88	1.39	4.41
A1	sand	2.48	0.49	5.21
A1	sand	3.87	1.03	2.03
A1	sand	4.44	0.61	20.89
A1	gravel	7.67	0.64	4.90
A1	gravel	14.93	0.70	5.64
A1	gravel	7.47	0.44	5.06
A1	gravel	2.84	0.23	4.04
A1	gravel	11.78	0.52	15.11
A1	gravel	2.21	0.23	10.83
A1	gravel	6.54	0.65	5.50
A1	gravel	2.16	0.42	2.48
A1	gravel	2.05	0.32	6.43
B1	sand	15.09	0.68	21.90
B1	sand	19.90	0.63	18.90
B1	sand	11.56	0.63	12.00
B1	sand	20.92	0.84	23.80
B1	sand	19.69	0.69	5.80
B1	sand	19.31	1.38	10.30
B1	sand	22.84	0.71	13.60
B1	sand	22.21	0.58	29.40
B1	sand	4.39	0.94	8.40
B1	sand	7.71	0.69	5.30
B1	sand	10.51	1.16	6.90
B1	sand	4.01	0.89	7.10
B1	sand	12.34	0.80	13.70
B1	sand	19.04	1.18	18.40
B1	sand	23.24	0.96	16.50
B1	sand	10.92	0.96	13.60
B1	sand	5.69	0.75	20.30
B1	sand	16.31	1.40	13.60
B1	sand	14.24	1.01	12.60
C1	gravel	22.06	0.61	20.45
C1	gravel	13.20	0.94	12.28
C1	gravel	9.57	0.68	5.56
C1	gravel	11.39	0.81	1.72
C1	gravel	19.78	0.84	12.99
C1	gravel	8.99	0.44	13.30
C1	gravel	8.36	0.65	10.60
C1	gravel	14.55	0.68	23.64
C1	gravel	7.06	0.40	11.65
C1	gravel	6.57	0.63	2.60
C1	gravel	14.23	0.53	12.33
C1	gravel	23.35	0.63	6.90
C1	gravel	7.34	0.61	1.75
C1	gravel	6.93	0.56	2.72
B1	gravel	15.98	0.65	14.80
B1	gravel	21.47	0.90	15.80
B1	gravel	24.23	0.45	28.50
B1	gravel	9.33	0.33	9.90
B1	gravel	22.19	0.44	14.50
B1	gravel	14.92	0.70	9.70
B1	gravel	15.69	0.62	6.10
B1	gravel	10.13	0.12	16.20
B1	gravel	18.43	0.71	16.60
B1	gravel	30.62	0.97	12.30
B1	gravel	7.21	0.44	15.50
B1	gravel	20.31	0.58	23.10
B1	gravel	8.28	0.36	17.90
B1	gravel	9.18	0.83	8.20
B1	gravel	13.83	0.81	8.80
B1	gravel	13.80	0.56	27.10
C1	sand	5.81	0.44	20.00
C1	sand	7.18	1.70	1.92
C1	sand	4.28	0.30	15.50
C1	sand	7.83	0.76	7.14
C1	sand	12.75	0.47	25.42
C1	sand	1.88	0.71	2.16
C1	sand	6.18	0.49	12.63
C1	sand	4.96	0.51	5.33
C1	sand	2.36	0.38	19.10
B1	sand	8.10	0.63	20.30
B1	sand	19.36	1.31	10.70
B1	sand	3.66	0.26	22.00
B1	sand	18.32	0.71	5.10
B1	sand	5.62	0.99	5.50
B1	sand	11.33	0.75	7.90
B1	sand	3.71	0.67	5.40
B1	sand	7.32	0.63	13.50
B1	sand	4.34	0.40	14.10
B1	sand	2.44	0.81	2.30
B1	sand	8.39	1.37	13.70
B1	sand	6.37	1.31	4.30
B1	sand	3.14	0.49	14.90
B1	sand	23.95	1.28	26.60
B1	sand	4.47	0.63	6.10
B1	sand	8.74	1.29	7.40
B1	sand	4.66	0.94	3.10
C1	gravel	9.78	0.53	16.46
C1	gravel	9.09	0.45	9.77
C1	gravel	2.85	0.29	4.42
C1	gravel	6.60	0.29	21.75
C1	gravel	8.99	0.78	9.47
C1	gravel	7.34	0.52	16.55
C1	gravel	4.79	0.81	3.10
C1	gravel	6.78	0.44	11.47
C1	gravel	9.60	0.72	11.61
C1	gravel	2.94	0.26	18.19
C1	gravel	9.84	1.00	8.40
C1	gravel	3.97	0.49	11.75
B1	gravel	12.88	0.84	8.30
B1	gravel	16.81	0.66	19.00
B1	gravel	8.41	0.94	6.10
B1	gravel	8.35	0.67	2.50
B1	gravel	9.98	0.72	30.40
B1	gravel	5.81	0.76	6.70
B1	gravel	4.47	0.45	14.70
B1	gravel	10.66	0.58	27.70
B1	gravel	6.84	0.75	13.50
B1	gravel	9.67	0.47	28.20
B1	gravel	7.00	0.44	8.10
B1	gravel	5.82	0.58	17.70
B1	gravel	31.56	1.11	20.70
B1	gravel	5.21	0.41	6.00
B1	gravel	26.62	1.02	17.30
B1	gravel	5.73	0.79	8.60
B1	gravel	7.00	0.53	26.60
C1	sand	12.08	0.80	4.55
C1	sand	5.39	0.70	12.98
C1	sand	2.46	0.55	10.10
C1	sand	2.26	0.45	12.90
C1	sand	5.03	0.83	2.14
C1	sand	5.73	0.59	20.96
C1	sand	3.36	1.09	2.73
C1	sand	8.72	1.61	7.89
